name,Channel_Name,Platform,Start_Year,Follower/Subscriber_count,Avg_Views_count,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,Engagement_Rate
JIPMER Guide,JIPMERGuide,YouTube,1970,275000,34000,JIPMER Nursing,5,JIPMER B.Sc Nursing Full Prep,yes,Telegram,mayur,12.36
CMC Vellore Pathways,CMCVelorePaths,YouTube,1970,225000,28000,CMC Vellore,6,CMC Vellore All Courses Guide,yes,None,mayur,12.44
CUET Biotech Academy,CUETBiotechAcademy,YouTube,1970,175000,22000,CUET-UG,8,CUET UG Biotech Domain Complete,yes,Instagram,mayur,12.57
State Med Entrance IN,StateMedEntranceIN,YouTube,1970,495000,62000,Multi-State Medical,0,All State Medical Allied Entrances,yes,"Instagram, Telegram",mayur,12.53
Tamil Nadu Medical Hub,TNMedHub,YouTube,1970,310000,39000,TNEA / Nursing TN,0,TNEA + TN Nursing Entrance,yes,"Instagram, Telegram",mayur,12.58
Telangana Career Guide,TelanganaCareerGuide,YouTube,1970,355000,44500,TG EAPCET / TG EAPCET (PCB),0,TS Eng + Pharmacy + Allied Guide,yes,"Instagram, Telegram",mayur,12.54
Andhra Career Hub,AndhraCareeerHub,YouTube,1970,418000,52500,AP EAPCET / AP EAPCET (PCB),0,AP Eng + Pharma + Allied Full,yes,"Instagram, Telegram",mayur,12.56
BVP & Allied Pune,BVPAlliedPune,YouTube,1970,178000,22000,BVP CET,6,BVP CET Allied Health Complete,yes,"Telegram, Whatsapp",mayur,12.36
AIIMS Nursing Pro,AimsNursingPro,YouTube,1970,298000,37500,AIIMS B.Sc Nursing,5,AIIMS Nursing Entrance Full Prep,yes,"Instagram, Telegram, Facebook, Twitter/X",mayur,12.58
South State Exams,SouthStateExams,YouTube,1970,645000,81000,Multi-State Exam,0,"TNEA, KCET, KEAM, AP, TG All",yes,No,mayur,12.56
Amol Pawar BVP,AmolPawar_BVP,YouTube,1970,82000,10500,BVP CET,6,BVP CET Occupational Therapy,yes,No,mayur,12.8
Dhanya Nair KL,DhanyaNair_KEAM,YouTube,1970,68000,8500,KEAM (PCB),6,"KEAM PCB OT, Lab Tech Kerala",no,"Instagram, Facebook, Telegram",mayur,12.5
Ganesh Kumar TN,GaneshKumar_TNEA,YouTube,1970,115000,14500,TNEA,4,Tamil Nadu Board Maths PYQ,yes,No,mayur,12.61
Hemalatha KA,Hemalatha_KCET,YouTube,1970,95000,12000,KCET,2,KCET Chemistry Shortcuts,yes,"Instagram, Telegram, Facebook, Twitter",mayur,12.63
Indira Nsg India,Indira_NsgIndia,YouTube,1970,185000,23000,State B.Sc Nursing,5,Pan India B.Sc Nursing State Exams,yes,Telegram,mayur,12.43
Jayakumar AP,Jayakumar_APEAPCET,YouTube,1970,142000,18000,AP EAPCET,1,AP EAPCET Physics PYQ,yes,None,mayur,12.68
Keerthana TS,Keerthana_TGEAPCET,YouTube,1970,78000,9800,TG EAPCET,2,TG EAPCET Organic Chemistry,no,Instagram,mayur,12.56
Lavanya Pharma South,Lavanya_PharmaSouth,YouTube,1970,225000,28000,Pharmacy,7,South India Pharmacy Entrances,yes,"Instagram, Telegram",mayur,12.44
Muthukumar Biotech,Muthukumar_Biotech,YouTube,1970,275000,34000,Biotechnology,8,Biotech Entrance All India,yes,"Instagram, Telegram",mayur,12.36
Nandini CMC,Nandini_CMC,YouTube,1970,72000,9000,CMC Vellore,5,CMC Nursing PYQ,yes,"Instagram, Telegram",mayur,12.5
Omkar CUET Allied,Omkar_CUETAllied,YouTube,1970,98000,12500,CUET-UG,6,CUET UG Allied Health Domain Prep,yes,"Instagram, Telegram",mayur,12.76
name,Channel_Name,Other,2020,0,0,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,0.0
Physics Wallah,PhysicsWallah,YouTube,2014,13500000,650000,NEET UG / JEE,1/0,India's largest NEET+JEE platform; founder Alakh Pandey; PW app ecosystem,Yes,"Instagram, Telegram, Website",shruti,4.81
Unacademy NEET,UnacademyNEET,YouTube,2015,2820000,180000,NEET UG,0,Top NEET-focused channel under Unacademy umbrella,Yes,"Instagram, Telegram, App",shruti,6.38
Vedantu NEET Made Ejee,VedantuNEETMadeEjee,YouTube,2019,2010000,142000,NEET UG,0,Live interactive classes; Vedantu's flagship NEET channel,Yes,"Instagram, App",shruti,7.06
Biomentors Classes Online,BiomentorsClassesOnline,YouTube,2017,805000,720000,NEET UG,3,Pure NEET Biology specialist; high avg views per video,Yes,"Telegram, Website",shruti,89.44
NEETprep,NEETprep,YouTube,2017,651000,540000,NEET UG,0,AI-powered NEET prep platform; mock tests & analytics,Yes,"App, Website",shruti,82.95
PW MedEd,PWMedEd,YouTube,2021,503000,470000,NEET PG / MBBS,16,PW's post-grad medical education arm,Yes,"Instagram, Telegram",shruti,93.44
eSaral NEET,eSaralNEET,YouTube,2020,417000,620000,NEET UG,2026-02-01 00:00:00,Kota-style video lectures; strong Physics content,Yes,"App, Website",shruti,148.68
NEET Adda247,NEETAdda247,YouTube,2021,581000,390000,NEET UG,0,Adda247's NEET vertical; bilingual content,Yes,"App, Telegram",shruti,67.13
Xylem NEET,XylemNEET,YouTube,2019,1090000,960000,NEET UG / KEAM,0,Kerala's top NEET channel; Malayalam medium + English,Yes,"Telegram, Instagram",shruti,88.07
Brilliant Pala NEET,BrilliantPalaNEET,YouTube,2012,931000,740000,NEET UG / KEAM,0,Oldest Kerala NEET coaching on YouTube; Brilliant Pala brand,Yes,"Website, Telegram",shruti,79.48
Aakash BYJU'S NEET,AakashBYJUSNEET,YouTube,2016,1040000,880000,NEET UG,0,Aakash Institute's official NEET YouTube arm,Yes,"Instagram, App",shruti,84.62
Khan GS Research Centre,KhanGSResearchCentre,YouTube,2019,23800000,120000,NEET UG / General,3,Massive biology content library; morphology & diagrams focus,Yes,Telegram,shruti,0.5
Doubtnut NEET,DoubtnutNEET,YouTube,2018,318000,260000,NEET UG,0,AI doubt-solving platform with NEET video solutions,Yes,"App, Website",shruti,81.76
LearnoHub NEET,LearnoHubNEET,YouTube,2019,427000,310000,NEET UG,0,Free NEET content; simplification-focused teaching style,Yes,Telegram,shruti,72.6
CareerOrbits NEET,CareerOrbitsNEET,YouTube,2016,286000,240000,NEET UG,0,Adaptive learning platform; NEET rank predictor,Yes,"Website, App",shruti,83.92
NEET Kaksha,NEETKaksha,YouTube,2020,205000,210000,NEET UG,0,Structured NEET crash courses; topper strategies,Yes,"Telegram, Instagram",shruti,102.44
Dr Najeeb Lectures,DrNajeebLectures,YouTube,2008,4590000,240000,NEET PG / MBBS,16/17,World-famous medical lecture series; anatomy & physiology,Yes,Website,shruti,5.23
PrepMed,PrepMed,YouTube,2020,268000,340000,NEET PG,16,"NEET PG strategy, subject-wise revision; clinically focused",Yes,Telegram,shruti,126.87
DAMS Delhi,DAMSDelhi,YouTube,2013,372000,280000,NEET PG / DNB,16,Pioneer PG medical coaching; Delhi Academy of Medical Sciences,Yes,"Website, Telegram",shruti,75.27
Cerebellum Academy,CerebellumAcademy,YouTube,2017,493000,420000,NEET UG / KCET,2026-03-02 00:00:00,South India focused; KCET + NEET PCB specialist,Yes,"Telegram, Instagram",shruti,85.19
Marrow,Marrow,YouTube,2016,901000,580000,NEET PG,16,India's #1 NEET PG app; QBank + video lectures,Yes,"App, Instagram",shruti,64.37
DBMCI,DBMCI,YouTube,2014,284000,220000,NEET PG / DNB,16,Dr Bhatia Medical Coaching; PGMEE specialist,Yes,"Website, Telegram",shruti,77.46
PrepLadder Medical,PrepLadderMedical,YouTube,2016,693000,510000,NEET PG,16,Premium NEET PG video platform; structured subject modules,Yes,"App, Telegram",shruti,73.59
Medical College Reviews,MedicalCollegeReviews,YouTube,2019,112000,180000,MBBS Guidance / Counseling,18,"College review, fee structure, cutoff guidance for MBBS aspirants",Yes,"Instagram, Telegram",shruti,160.71
NEET Biology by Anmol Sharma,AnmolSharmaBiology,YouTube,2020,309000,410000,NEET UG,3,Conceptual NEET Biology; mnemonics & diagram-based teaching,Yes,Telegram,shruti,132.69
Aman Tilak,AmanTilak,YouTube,2018,257000,230000,NEET UG / Medical Mentorship,19,NEET topper turned mentor; strategy & mental health focus,Yes,"Instagram, Telegram",shruti,89.49
ATP Star,ATPStar,YouTube,2016,418000,370000,NEET UG,2026-02-03 00:00:00,Rajasthan-based; animated biology explanations; ATP Star app,Yes,"App, Telegram",shruti,88.52
RSK NEET Academy,RSKNEETAcademy,YouTube,2024,234985,360000,NEET UG,0,Fast-growing new channel; Tamil Nadu NEET focus,Yes,"Telegram, Instagram",shruti,153.2
Medical Mentors,MedicalMentors,YouTube,2018,145000,170000,MBBS Guidance / NEET PG,18/16,Doctor mentors guiding MBBS students post-NEET,Yes,"Instagram, Telegram",shruti,117.24
The Neurophile,TheNeurophile,YouTube,2017,121000,140000,NEET PG / MBBS,16/21,Niche neuroscience + NEET PG channel; MBBS clinical learning,Yes,Instagram,shruti,115.7
Name,Channel_Name,Other,2020,0,0,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,0.0
Let's Crack NEET UG,Lets Crack NEET UG,YouTube,1970,0,0,NEET UG,All Subjects,Live classes + NEET strategy,Yes,Website,sejal,0.0
Sri Chaitanya Academy NEET,Sri Chaitanya NEET,YouTube,1970,0,0,NEET UG,PCB,South India coaching ecosystem,Yes,Institute,sejal,0.0
Physics Galaxy,Physics Galaxy,YouTube,1970,0,0,NEET/JEE,Physics,Advanced physics concepts,Yes,Website,sejal,0.0
Motion Kota NEET,Motion Kota,YouTube,1970,0,0,NEET/JEE,Physics,Kota coaching lectures,Yes,Institute,sejal,0.0
Seep Pahuja Biology,Seep Pahuja,YouTube,1970,0,0,NEET UG,Biology,NCERT line-by-line teaching,Yes,Unacademy,sejal,0.0
Tarun Sir Physics,Tarun Sir,YouTube,1970,0,0,NEET UG,Physics,Concept clarity,Yes,Coaching,sejal,0.0
Dr. Sachin Kapoor,Dr Sachin Kapoor,YouTube,1970,0,0,NEET PG,Medicine,Clinical explanation,Yes,App,sejal,0.0
Cerebellum Academy,Cerebellum,YouTube,1970,0,0,NEET PG,Medicine,PG entrance coaching,Yes,Website,sejal,0.0
Marrow Official,Marrow,YouTube,1970,0,0,NEET PG,Clinical Medicine,PG prep ecosystem,Yes,App,sejal,0.0
PrepLadder,PrepLadder,YouTube,1970,0,0,NEET PG,Medicine,PG lectures + revision,Yes,App,sejal,0.0
DBMCI,DBMCI,YouTube,1970,0,0,NEET PG,Medicine,PG coaching institute,Yes,Institute,sejal,0.0
DAMS Delhi,DAMS,YouTube,1970,0,0,NEET PG,Medicine,Clinical coaching,Yes,Institute,sejal,0.0
Osmosis,Osmosis,YouTube,1970,0,0,Medical Education,Biology,Visual medical learning,Yes,Website,sejal,0.0
Lecturio Medical,Lecturio,YouTube,1970,0,0,Medical Education,Anatomy,Structured video learning,Yes,Website,sejal,0.0
AMBOSS,AMBOSS,YouTube,1970,0,0,Medical Education,Clinical Medicine,Qbank + learning system,Yes,Website,sejal,0.0
Geeky Medics,Geeky Medics,YouTube,1970,0,0,Medical Skills,OSCE,Clinical skill training,Yes,Website,sejal,0.0
Zero To Finals,ZeroToFinals,YouTube,1970,0,0,Medical Education,Medicine,Exam revision notes,Yes,Website,sejal,0.0
MedCram,MedCram,YouTube,1970,0,0,Medical Education,Physiology,Simplified medicine lectures,Yes,Website,sejal,0.0
OnlineMedEd,OnlineMedEd,YouTube,1970,0,0,Medical Education,Clinical Medicine,Structured curriculum,Yes,Website,sejal,0.0
Kenhub,Kenhub,YouTube,1970,0,0,Medical Education,Anatomy,Visual anatomy learning,Yes,Website,sejal,0.0
Medicosis Perfectionalis,Medicosis,YouTube,1970,0,0,Medical Education,Pathology,Deep medical explanations,Yes,Website,sejal,0.0
Ninja Nerd,Ninja Nerd,YouTube,1970,0,0,Medical Education,Physiology,Deep concept breakdowns,Yes,Website,sejal,0.0
Armando Hasudungan,Armando,YouTube,1970,0,0,Medical Education,Biology,Hand-drawn medical diagrams,Yes,Website,sejal,0.0
Strong Medicine,Strong Medicine,YouTube,1970,0,0,Medical Education,Internal Medicine,Clinical reasoning,Yes,Website,sejal,0.0
Dirty Medicine,Dirty Medicine,YouTube,1970,0,0,Medical Education,USMLE,Exam mnemonics,Yes,Website,sejal,0.0
Dr. Najeeb Lectures,Dr Najeeb,YouTube,1970,0,0,Medical Education,Anatomy,Deep concept teaching,Yes,Website,sejal,0.0
Med School Insiders,Med School Insiders,YouTube,1970,0,0,Medical Career,Guidance,USMLE + study strategy,Yes,Website,sejal,0.0
Future Doc House,FutureDocHouse,YouTube,1970,0,0,NEET UG,Strategy,Student mentorship,Yes,Website,sejal,0.0
Dr. High Yield,Dr High Yield,YouTube,1970,0,0,Medical Education,USMLE,High yield revision,Yes,Website,sejal,0.0
Medical Animation Hub,Med Animation Hub,YouTube,1970,0,0,Medical Education,Biology,Animated concepts,Yes,Website,sejal,0.0
Name,Channel_Name,Other,2020,0,0,Core_Area,Subject,Key_points,Cross_Platform,Cross_Platform_Type,Uploaded by,0.0
Aman Tilak,Medica Wing - NEET Experts,YouTube,1970,0,0,NEET UG Counseling,Counseling,State-wise MBBS counseling analysis,Yes,"Telegram,Website",Harshita,0.0
Shobit Verma,THE MBBS PLANET - NEET UG_PG COUNSELLING,YouTube,1970,0,0,MBBS Counseling,Counseling,Personalized counseling guidance,Yes,"Telegram,Instagram",Harshita,0.0
Dr. Anand Mani,Dr. Anand Mani,YouTube,1970,0,0,NEET UG ,Biology,NCERT Biology strategy,Yes,"Telegram,Instagram",Harshita,0.0
Seep Pahuja,Seep Pahuja,YouTube,1970,0,0,NEET UG,Biology,High-yield NEET Biology revision,Yes,"Telegram,Instagram",Harshita,0.0
Dr. Pranav Pundarik,Pranav Pundarik,YouTube,1970,0,0,MBBS Mentorship,Motivation,MBBS life & NEET mentorship,Yes,Instagram,Harshita,0.0
Dr. Aditya Gupta,Aditya Gupta NEET,YouTube,1970,0,0,NEET Strategy,Biology,Smart study strategy for droppers,Yes,Telegram,Harshita,0.0
Dr. Nitesh Devnani,Nitesh Devnani Biology,YouTube,1970,0,0,NEET UG,Biology,NCERT-based crash courses,Yes,"Telegram, Instagram",Harshita,0.0
Dr. Gaurav Kejriwal,EduClub Medical,YouTube,1970,0,0,Medical Counseling,Counseling,MBBS admission guidance,Yes,"Website, Telegram",Harshita,0.0
Dr. Vivek Jain,Dr Vivek Jain,YouTube,1970,0,0,NEET PG,Medical Subjects,Concept-based PG guidance,Yes,Telegram,Harshita,0.0
Dr. Sushant Soni,Sushant Soni Education,YouTube,1970,0,0,NEET Counseling,Counseling,Counseling mistake prevention,Yes,Telegram,Harshita,0.0
Dr. Deepak Marwah,Dr Deepak Marwah,YouTube,1970,0,0,NEET UG,Physics,NEET Physics tricks,Yes,Telegram,Harshita,0.0
Mohit Goenka,Physics Galaxy NEET,YouTube,1970,0,0,NEET UG,Physics,Numerical problem solving,Yes,Website,Harshita,0.0
Dr. Bhatia,DBMCI,YouTube,1970,0,0,NEET PG,Medical Subjects,PG preparation ecosystem,Yes,"App, Website",Harshita,0.0
Dr. Rohan Khandelwal,Marrow,YouTube,1970,0,0,NEET PG,Medical Subjects,Clinical PG prep,Yes,"App, Instagram",Harshita,0.0
Dr. Sudarshan,PrepLadder Medical,YouTube,1970,0,0,NEET PG,Medical Subjects,Rapid revision & GT strategy,Yes,"App, Telegram",Harshita,0.0
Dr. Rajesh Jambhulkar,Neet Navigator,YouTube,1970,0,0,NEET Counseling,Counseling,Data-driven counseling support,Yes,"Website, Telegram",Harshita,0.0
Dr. Akshay Choudhary,MBBS Lighthouse,YouTube,1970,0,0,MBBS Guidance,Counseling,College predictor guidance,Yes,Website,Harshita,0.0
Dr. Vinay Kumar,NeetShastra,YouTube,1970,0,0,NEET UG Counseling,Counseling,AIQ & state counseling updates,Yes,Telegram,Harshita,0.0
Dr. Himanshu Tyagi,ExpHub NEET,YouTube,1970,0,0,NEET UG,Biology,NCERT focused learning,Yes,Telegram,Harshita,0.0
Alakh Pandey,Physics Wallah NEET,YouTube,1970,0,0,NEET UG,PCB,Large-scale NEET preparation,Yes,"App, Telegram",Harshita,0.0
Dr. Pawan Kandhari,Pawan Kandhari Education,YouTube,1970,0,0,MBBS Counseling,Counseling,Deemed/private college analysis,Yes,Telegram,Harshita,0.0
Dr. Saurabh Bothra,Unacademy NEET Toppers,YouTube,1970,0,0,NEET UG,PCB,Toppers strategy sessions,Yes,"App, Telegram",Harshita,0.0
Dr. Karthikeya,MedEasy Education,YouTube,1970,0,0,NEET PG,Medicine,Clinical medicine simplification,Yes,App,Harshita,0.0
Dr. Bharath Kumar,Bharath NEET Academy,YouTube,1970,0,0,KCET PCB,Biology,Karnataka PCB entrance focus,Yes,Telegram,Harshita,0.0
Dr. Akhil Reddy,Medico Mentor,YouTube,1970,0,0,MBBS Mentorship,Counseling,Career roadmap for medicos,Yes,Instagram,Harshita,0.0
Dr. Naveen Porwal,Biology at Ease,YouTube,1970,0,0,NEET UG,Biology,Simplified Biology concepts,Yes,Telegram,Harshita,0.0
Dr. Ashwin Vijay,Kerala Medicos Hub,YouTube,1970,0,0,KEAM / NEET,Counseling,Kerala counseling & MBBS updates,Yes,Telegram,Harshita,0.0
Dr. Rahul Dudi,Rahul Dudi NEET,YouTube,1970,0,0,NEET UG,Biology,PYQ-driven preparation,Yes,"Telegram, Instagram",Harshita,0.0
Dr. Aakash N,MHT CET PCB Mentor,YouTube,1970,0,0,MHT CET PCB,PCB,Maharashtra PCB entrance strategy,Yes,Telegram,Harshita,0.0
